,tweet_id,tweet_text,AR,MB
1281,705875419287920642,"Presented certificates to over 50 individuals who took an oath of allegiance, officially becoming American citizens. https://t.co/Kz0E2wSB1m",3,3
658,494897109460873216,John Brennan has failed to change culture at @CIA &amp; respect congressional oversight: http://t.co/DFd1pOOi5O,1,1
299,1461112070234165250,"RT @SBAList: ""The scientific data that Roe v. Wade was based upon is antiquated. I think that the law should reflect the science.""

See mor…",1,1
3340,1080902365681659904,"In this new #Congress, both parties must work together to solve problems for the American people. We have big challenges ahead of us &amp; I’m committed to doing my part to get things done for #Ohio &amp; move our country forward.",3,3
2187,908502895494074369,North Korea is the most imminent threat to the United States. My statement on tonight's missile launch. ➡️ https://t.co/yAnSSVXSLe,1,1
491,449244525798903808,2 days 'til #SUPERSATURDAY! Have you volunteered to block walk in your county yet? http://t.co/qdwIrnvphH #KeepItRed #KeepTexasRed,3,3
1319,733990885482975232,"On #ArmedForcesDay, we remember our brave military men &amp; women who stand ready to protect our freedom. Thanks for your sacrifice &amp; service",3,3
2243,908699086005702656,"Started today in Kentucky with a tour of @Toyota. They employ over 8,200 Kentuckians. I'll continue to fight for pro business solutions. https://t.co/0z58B672sI",1,1
2620,909076916614787072,Stopped by @WISN12News to record interview w/ @MikeGousha for Sunday's #UpFront https://t.co/frMca2R2ZZ,3,3
971,581478511937982464,"Nearly 10 yrs after #HurricaneKatrina, it's time for @USDOL to follow through on rebuilding Gulfport #JobCorps Center http://t.co/U7eW8g9YCR",1,1
1321,780590661158445056,"While Trump lies about his record @HillaryClinton shows how 40 yrs of hard work 4 families, women &amp;middle class will help in the White House",1,3
3358,1080912073243217920,"Another Virginia business feeling the pain from the Trump trade war: “It’s essentially decimated our European business, and it’s put our expansion on hold.” – Purcellville’s @catoctincreek https://t.co/x71gvZfCif",1,1
766,570944902533648384,About to speak about our broken Veteran Affairs system. watch live at http://t.co/KGxxWwa02o now. https://t.co/uc6Yby3J72,1,1
3053,1080260029528395777,The Hawleys’ journey to Washington for swearing in begins! Blaise coloring on the plane ride https://t.co/5D9Fc8vicX,3,3
640,514546687051071488,"#IslamicState airstrikes. As we move forward, our men and women in uniform deserve our complete support: http://t.co/TZuwAP3tBg",1,1
3130,1080549368430817281,"RT @RepDonBeyer: Elections have consequences. In Virginia, those consequences include healthcare coverage for hundreds of thousands for the…",1,2
